57.47288889510645|13.53835764116053|10.304862844300665|;108
64.24702744590495|1.911490649070653|-5.891879241398073|;63
62.6608926351528|12.38509389727124|-19.573707317780972|;96
76.69849715917964|1.597898381047305|-4.44706800824583|;63
55.94127314831372|4.236787173513357|-3.207184050292596|;25
74.73751336491564|1.612132902628211|-4.716877605270364|;25
63.478152885985786|12.271788425676997|-19.557404851296504|;26
59.212359196166965|14.743708518623693|11.938808111717938|;25
73.372632270329|1.5956468073439432|-4.875313786493652|;11
61.31619785967866|15.065670599334375|12.571829461434477|;46
63.0225472621601|11.666847800823122|-19.054055422847693|;11
50.54590368198009|8.93518565640447|3.4774618489901865|;46
57.876739937853195|13.98067666228747|11.102468069311058|;40
76.04040866881873|1.6293079648231434|-4.626809543855656|;40
63.40622950926212|12.654574568267748|-19.910282037806414|;74
61.23371941597876|2.74596595603026|-5.418604792854263|;40
73.47178316216531|1.5817444861323773|-4.8530363863202775|;53
62.955857128509706|11.492794921914482|-18.81684233321418|;53
73.62137909845039|1.4544206395716381|-5.103766767804644|;31
62.122142620349805|10.988241281945257|-18.13776027915746|;31
53.849919408986786|14.058881737147772|9.951341875284127|;15
65.61178477128509|10.041022690254382|8.173968039140636|;15
76.63389469983069|1.5904553280095886|-4.464542866260602|;4
64.1244856103015|1.9316499698479892|-5.8873150230399185|;4
66.16280247684824|10.838438013432054|9.095372995413397|;12
53.808825995174935|13.570040061100116|9.444964370325707|;9
65.49317323328907|10.289572744727437|8.484573001421385|;6
53.667805497573895|14.001584026001408|9.810725701976963|;6
76.24080420088605|1.6503572417282442|-4.535601168228431|;2
62.66816175001211|2.0549553527355866|-6.203525814707921|;2
57.642508653045226|13.876771444943268|10.918443889853329|;9
61.897116419934775|2.697325398074682|-5.407795912618712|;8
76.17946544012068|1.5847072336041912|-4.666308837540767|;8
76.57994642858023|1.6334313692144544|-4.560296671354984|;32
63.978957074736826|1.8551003427473172|-5.730008084292405|;29
50.448700152465385|8.53931316728072|2.929919646332917|;17
60.90497844536343|15.031487714997015|12.497805640713992|;17
76.30796369139685|1.6560661722270849|-4.532876613507017|;3
62.809610373122155|2.0345136841649567|-6.17451030179924|;3
57.57862129452497|13.557108221942526|10.522941634613312|;16
62.26432022506157|2.302073582430566|-6.128192149460527|;15
76.17614430190248|1.6411791432130851|-4.5635170869121255|;17
61.11955584203062|15.045595834812545|12.524295995801086|;1
50.47728213256804|8.74850277999563|3.2290560754565547|;1
57.85408571969213|14.111512612567225|11.210151114430593|;3
61.34292146215351|2.8831074189795194|-5.036736148416511|;3
76.1100207698713|1.5838625906678792|-4.709727000224246|;3
63.1804127683098|12.505512187221367|-19.764980049045043|;6
63.52527256430196|1.9624028011123877|-5.843934447437452|;3
62.51788625315198|2.0843019235631677|-6.177277663013553|;2
76.3830358267173|1.6090705651796495|-4.618171438826865|;2
63.119585868332315|2.0337151906785187|-5.803589376209522|;2
62.49513191838573|11.406018480194719|-18.665246713869923|;3
53.76414521812128|13.320878292449864|9.137872199088415|;3
73.47960941945816|1.4495845852840985|-5.103336397374368|;3
62.72672310319916|2.268002995449051|-5.783995153937233|;1
76.31446810228736|1.6037704136565374|-4.620078466116611|;1
53.51112393936544|13.362874760173696|9.14734851803018|;1
65.76591520498525|11.401399985242339|9.639340691995415|;1
76.10851625472866|1.630581460944253|-4.583011580271358|;1
61.75622593545687|2.6226661842196637|-5.599722480600273|;1
58.61827815934482|14.566554370377451|11.728359547471419|;1
74.97267888252726|1.6135797550458009|-4.684398212658161|;1
57.392072885691505|3.7331201040717827|-3.9151049216610545|;1
